物件名,住所,アクセス,築年数,階数,賃料,管理費,敷金,礼金,間取り,面積
エルファーロ大岡山II,東京都目黒区大岡山１,"
大岡山駅 歩7分
緑が丘駅 歩14分
洗足駅 歩14分
","
新築
4階建
","
											3",19.7万円,10000円,-,-,2LDK,45.02m2
ウェルスクエア学芸大学,東京都目黒区鷹番３,"
学芸大学駅 歩2分
祐天寺駅 歩17分
都立大学駅 歩22分
","
新築
5階建
","
											1",18.6万円,12000円,18.6万円,18.6万円,2LDK,40.8m2
ウェルスクエア学芸大学,東京都目黒区鷹番３,"
学芸大学駅 歩2分
祐天寺駅 歩17分
都立大学駅 歩22分
","
新築
5階建
","
											2",19.4万円,12000円,19.4万円,19.4万円,2LDK,40.8m2
ウェルスクエア学芸大学,東京都目黒区鷹番３,"
学芸大学駅 歩2分
祐天寺駅 歩17分
都立大学駅 歩22分
","
新築
5階建
","
											3",19.6万円,12000円,19.6万円,19.6万円,2LDK,40.8m2
ウェルスクエア学芸大学,東京都目黒区鷹番３,"
学芸大学駅 歩2分
祐天寺駅 歩17分
都立大学駅 歩22分
","
新築
5階建
","
											4",19.8万円,12000円,19.8万円,19.8万円,2LDK,40.8m2
セザール大岡山ガーデン,東京都目黒区大岡山１,"
大岡山駅 歩10分
大岡山駅 歩10分
緑が丘駅 歩7分
","
築28年
4階建
","
											4",15万円,10000円,15万円,15万円,3LDK,53.91m2
東急東横線 学芸大学駅 3階建 築31年,東京都目黒区目黒本町１,"
学芸大学駅 歩12分
武蔵小山駅 歩14分
西小山駅 歩17分
","
築31年
3階建
","
											2",15.8万円,-,15.8万円,15.8万円,2LDK,53.12m2
東急東横線 学芸大学駅 8階建 築51年,東京都目黒区中央町２,"
学芸大学駅 歩10分
祐天寺駅 歩12分
中目黒駅 歩25分
","
築51年
8階建
","
											4",15.5万円,6000円,15.5万円,15.5万円,3LDK,49.5m2
セザール学芸大学,東京都目黒区鷹番２,"
学芸大学駅 歩1分
祐天寺駅 歩14分
都立大学駅 歩22分
","
築48年
6階建
","
											2",18.9万円,11000円,18.9万円,-,3LDK,49.55m2
Green Forest Gohongi,東京都目黒区五本木３,"
学芸大学駅 歩7分
祐天寺駅 歩13分
都立大学駅 歩25分
","
築3年
2階建
","
											2",18万円,3000円,-,18万円,2LDK,58.03m2
ネスト鷹番,東京都目黒区鷹番１,"
学芸大学駅 歩8分
都立大学駅 歩19分
祐天寺駅 歩20分
","
築22年
3階建
","
											2",20万円,5000円,20万円,20万円,2LDK,55.2m2
東急田園都市線 池尻大橋駅 3階建 築18年,東京都目黒区青葉台３,"
池尻大橋駅 歩10分
中目黒駅 歩15分
渋谷駅 歩19分
","
築18年
3階建
","
											2",18.1万円,4000円,9.05万円,27.15万円,2LDK,56.74m2
ワイズホーム,東京都目黒区原町１,"
西小山駅 歩3分
武蔵小山駅 歩13分
洗足駅 歩12分
","
築16年
3階建
","
											2",17.6万円,-,17.6万円,17.6万円,2LDK,66.98m2
